delay,memory,with migration,downtime
0,0,false,1505
0,0,false,1703
0,0,false,2508
0,0,false,1202
0,0,false,1505
0,0,false,1703
0,0,false,2806
0,0,false,1703
0,0,false,1504
0,0,false,1704
0,100,false,1703
0,100,false,1103
0,100,false,2204
0,100,false,1703
0,100,false,1103
0,100,false,1505
0,100,false,1505
0,100,false,2005
0,100,false,1703
0,100,false,1104
0,200,false,1103
0,200,false,1104
0,200,false,1505
0,200,false,1704
0,200,false,1703
0,200,false,1704
0,200,false,1704
0,200,false,1703
0,200,false,1103
0,200,false,1703
0,500,false,3307
0,500,false,1103
0,500,false,1703
0,500,false,1504
0,500,false,1203
0,500,false,1605
0,500,false,1604
0,500,false,1604
0,500,false,1604
0,500,false,2706
0,1000,false,1604
0,1000,false,1202
0,1000,false,1203
0,1000,false,1703
0,1000,false,1604
0,1000,false,1704
0,1000,false,1703
0,1000,false,1705
0,1000,false,1605
0,1000,false,3307
0,2500,false,1505
0,2500,false,1604
0,2500,false,1703
0,2500,false,2805
0,2500,false,1505
0,2500,false,1603
0,2500,false,1604
0,2500,false,1604
0,2500,false,1604
0,2500,false,1505
0,5000,false,1003
0,5000,false,1604
0,5000,false,1703
0,5000,false,1505
0,5000,false,1505
0,5000,false,1505
0,5000,false,1202
0,5000,false,1703
0,5000,false,1505
0,5000,false,1703
0,10000,false,1703
0,10000,false,1604
0,10000,false,3306
0,10000,false,1703
0,10000,false,1103
0,10000,false,1606
0,10000,false,1704
0,10000,false,1703
0,10000,false,1507
0,10000,false,1604
0,15000,false,1703
0,15000,false,1505
0,15000,false,3008
0,15000,false,2805
0,15000,false,1704
0,15000,false,1505
0,15000,false,1704
0,15000,false,1704
0,15000,false,1604
0,15000,false,1505
0,20000,false,3207
0,20000,false,1704
0,20000,false,1505
0,20000,false,2006
0,20000,false,2706
0,20000,false,1505
0,20000,false,1703
0,20000,false,1703
0,20000,false,2205
0,20000,false,1505
0,25000,false,2007
0,25000,false,1703
0,25000,false,1704
0,25000,false,2007
0,25000,false,1504
0,25000,false,2006
0,25000,false,2006
0,25000,false,2105
0,25000,false,1704
0,25000,false,1704
0,50000,false,2607
0,50000,false,2507
0,50000,false,2507
0,50000,false,2508
0,50000,false,2508
0,50000,false,2608
0,50000,false,2607
0,50000,false,4512
0,50000,false,2607
0,50000,false,2508
0,100000,false,4512
0,100000,false,4512
0,100000,false,4512
0,100000,false,4512
0,100000,false,5013
0,100000,false,4512
0,100000,false,4512
0,100000,false,4515
0,100000,false,5014
0,100000,false,4517
0,0,true,2205
0,0,true,1607
0,0,true,1604
0,0,true,2204
0,0,true,2103
0,0,true,1703
0,0,true,2205
0,0,true,1801
0,0,true,2105
0,0,true,2204
0,100,true,1604
0,100,true,2106
0,100,true,1805
0,100,true,1703
0,100,true,1803
0,100,true,2205
0,100,true,4006
0,100,true,2205
0,100,true,2205
0,100,true,1802
0,200,true,1906
0,200,true,2205
0,200,true,1802
0,200,true,1802
0,200,true,2205
0,200,true,4805
0,200,true,1803
0,200,true,2204
0,200,true,2109
0,200,true,1802
0,500,true,2805
0,500,true,2805
0,500,true,5708
0,500,true,3306
0,500,true,5807
0,500,true,5808
0,500,true,5807
0,500,true,2805
0,500,true,2805
0,500,true,5206
0,1000,true,3504
0,1000,true,3508
0,1000,true,4005
0,1000,true,3505
0,1000,true,4006
0,1000,true,4006
0,1000,true,4007
0,1000,true,4006
0,1000,true,4203
0,1000,true,4006
0,2500,true,10206
0,2500,true,7811
0,2500,true,7813
0,2500,true,7812
0,2500,true,10312
0,2500,true,8412
0,2500,true,7811
0,2500,true,6810
0,2500,true,6810
0,2500,true,9211
0,5000,true,13018
0,5000,true,14019
0,5000,true,15920
0,5000,true,14019
0,5000,true,13518
0,5000,true,14019
0,5000,true,13518
0,5000,true,14018
0,5000,true,14521
0,5000,true,13519
0,10000,true,26940
0,10000,true,26232
0,10000,true,25031
0,10000,true,25030
0,10000,true,26733
0,10000,true,26731
0,10000,true,26230
0,10000,true,28632
0,10000,true,27333
0,10000,true,27333
0,15000,true,38849
0,15000,true,38351
0,15000,true,37755
0,15000,true,38247
0,15000,true,38460
0,15000,true,38850
0,15000,true,37746
0,15000,true,38944
0,15000,true,37746
0,15000,true,40650
0,20000,true,52874
0,20000,true,51263
0,20000,true,49860
0,20000,true,49774
0,20000,true,52178
0,20000,true,52067
0,20000,true,51071
0,20000,true,51072
0,20000,true,52763
0,20000,true,58167
0,25000,true,63778
0,25000,true,64973
0,25000,true,63078
0,25000,true,62784
0,25000,true,63189
0,25000,true,64984
0,25000,true,62088
0,25000,true,63785
0,25000,true,62080
0,25000,true,64988
0,50000,true,127970
0,50000,true,128871
0,50000,true,130272
0,50000,true,136345
0,50000,true,131356
0,50000,true,130967
0,50000,true,127357
0,50000,true,126163
0,50000,true,127260
0,50000,true,128149
0,100000,true,249187
0,100000,true,252083
0,100000,true,249066
0,100000,true,262994
0,100000,true,263795
0,100000,true,265300
0,100000,true,268096
0,100000,true,254684
0,100000,true,255182
0,100000,true,254867
